No.,種類（1.読み 2.表外読み 3.熟語一字訓 4.書き取り 5.四字熟語 6.対義語類義語 7.故事諺）,問題,問題例,解答,備考,正解数,間違い数
21,1,衿契,二人は<衿契>の間柄だ。,きんけい,心を許し合った友。非常に親しい交わり。,1,0
39,1,蝦芋,<蝦芋>は京野菜の一種だ。,えびいも,-,1,0
40,1,摸る,バッグの中を<摸る>。,さぐる,-,1,0
41,1,禄い,天に与えられた<禄い>に感謝する。,さいわい,-,1,0
84,1,蒼鷹,情け知らずの酷吏を<蒼鷹>にたとえた。,そうよう,羽毛が青色を帯びている鷹。しらたか。《1が猛々しいところから》情け容赦のない役人のたとえ。,0,0
93,1,而,我<而>に罪無きを知る。,なんじ,-,1,0
106,1,享通,<享通>の時に至る。,こうつう,物事が順調にはこぶこと。,0,0
107,1,苑ぐ,故に事大いに積めども<苑が>らず。,ふさぐ,ふさがる。つもる。,0,0
120,1,敦朴,<敦朴>な人柄の憎めない男である。,とんぼく,-,0,0
129,1,碓声,深更に至って漸く<碓声>が絶えた。,たいせい,臼を挽く音。,0,0
130,1,蔦葛,<蔦葛>を生い茂る藪を漕いで進んだ。,つたかずら,つる草の総称。,0,0
162,1,揖揖,若年にして白髪すでに<揖揖>たり。,しゅうしゅう,-,0,0
91,2,標,聖域の周りに<標>を結う。,しめ,土地の領有を示すため、また、場所を限るために木を立てたり縄を張ったりして、しるしとしたもの。,0,0
116,2,実,<実>しやかに述べ立てる。,まこと,-,0,0
154,2,上る,海の幸山の幸を<上る>。,たてまつる,-,0,0
171,2,豪い,それが先生の<豪い>ところだ。,えらい,-,1,0
172,2,精げる,米を精げる。,しらげる, 玄米をついて白くする。精白する。細工物などを磨いて仕上げをする。,0,0
1,3,曝書・曝す,<曝書>・<曝す>,ばくしょ・さらす,-,5,0
2,3,薫督・薫す,<薫督>・<薫す>,とうとく・ただす,-,5,0
22,3,遠猷・猷る,<遠猷>・<猷る>,えんゆう・はかる,遠い先のことまでよく考えたはかりごと。計略を立てること。,1,0
42,3,疏水・疏る,<疏水>・<疏る>,そすい・とおる,-,1,0
71,3,砥礪・礪く,<砥礪>・<礪く>,しれい・みがく,-,0,0
72,3,狭窄・窄まる,<狭窄>・<窄まる>,きょうさく・せばまる,-,0,0
78,3,嘉禎・禎い,<嘉禎>・<禎い>,かてい・さいわい,めでたいこと。,0,0
94,3,輿望・輿い,<輿望>・<輿い>,よぼう・おおい,世間一般の人々から寄せられる信頼・期待。衆望。「輿望を担う」,0,0
131,3,欽若・欽む,<欽若>・<欽む>,きんじゃく・つつしむ,つつしみ順う。,0,0
3,4,さえて,今日は頭が＜さえて＞いる,冴えて,-,5,0
4,4,わしづかみ,現金を<わしづか>みにして逃げた。,鷲摑み,-,5,0
5,4,ひんし,<ひんし>の子猫の命を救った。,瀕死,-,5,0
6,4,くら,馬に<くら>を置く。,鞍,-,5,0
7,4,せっけん,周辺の国々を<せっけん>していく。,席捲,-,4,0
8,4,せっこう,敵陣に<せっこう>を放つ。,斥候,-,3,0
9,4,せっこう,<せっこう>像をデッサンした。,石膏,-,3,0
10,4,こうしょう,時代の<こうしょう>が変化した。,好尚,-,2,0
23,4,りょうせん,<りょうせん>を伝って頂上を目指す。,稜線,-,1,0
24,4,そうく,白髪<そうく>の老紳士に出会った。,痩躯,-,1,0
25,4,しい,<しい>的に対策を決める。,恣意,-,1,0
26,4,こしき,<こしき>床しい,古式,-,1,0
27,4,かど,国家反逆罪の<かど>で逮捕される。,廉,-,1,0
43,4,きがい,必ず再起するとの<きがい>がある。,気概,-,1,0
67,4,くわ,畑に<くわ>を入れる。,鍬,-,0,0
68,4,しょうかい,<しょうかい>艇が密漁船を捕らえた。,哨戒,-,0,0
73,4,りょうせん,<りょうせん>に続いて沖に出る。,僚船,-,0,0
79,4,かしん,全国各地の<かしん>に接する。,花信,花が咲いたという知らせ。花便り。,0,0
80,4,ぎょしん,忽ち強烈な<ぎょしん>があった。,魚信, 釣りで、魚が餌をくわえたことが、竿や糸などから伝わってくること。あたり。,0,0
81,4,しょうち,秋の信濃路に佳境<しょうち>を求める旅に出た。,勝地,景色のよい所。景勝の地。,0,0
82,4,いらく,寂滅<いらく>の浄地に遊ぶの想いあらしむ。,為楽,本当の楽しみとすること。ことに、涅槃についていう。,0,0
85,4,いかい,父の<いかい>を肝に銘ずる。,遺戒,-,0,0
86,4,じかい,終生<じかい>の僧であった。,持戒,-,0,0
87,4,しょうずい,事の成る前、屡<しょうずい＞が現れた。,祥瑞,-,0,0
95,4,さやあて,人目はばからず恋の＜さやあて>を演じる。,鞘当て,-,0,0
96,4,とてつ,<とてつ>もない金額を請求された。,途轍,-,0,0
97,4,しんたん,世人の<しんたん>を寒からしめる。,心胆,-,0,0
105,4,にんずる,豪の者を以て<にんずる>彼も戦慄した。,任ずる,-,0,0
108,4,けいし,桜の咲き匂う<けいし>を訪れる。,京師,東アジアなど漢字文化圏で帝王の都のこと。京都[1]。京城。,0,0
109,4,しひょう,世の<しひょう>として畏敬される。,師表,世の人の模範・手本となること。また、その人。「後人の師表となる」,0,0
118,4,きんちゃく,<きんちゃく>袋に収納する。,巾着,-,0,0
119,4,ゆうとう,<ゆうとう>ばかりで惰弱である。,遊蕩,-,0,0
121,4,ほうとう,<ほうとう>を掲げて世の闇を照らす。,法灯,仏法がこの世の闇やみを照らすことを灯火にたとえていう語。,0,0
122,4,ほうもう,巧妙に<ほうもう>をくぐる。,法網,法律という網。不正を行えば、法律で罰せられることを精密な網にたとえていう語。,0,0
128,4,しょうよう,<しょうよう>者は愛すべし。,少幼,-,0,0
132,4,せんしょう,銘々に<せんしょう>ならざる功績があった。,鮮少,「尠少」非常に少ないこと。また、そのようす。「―な事例と心得る」,0,0
133,4,ほうせん,古来政の要訣を<ほうせん>にたとえる。,烹煎,①生魚をにること。 ②国を治めるのにあせって余計な策を施すと、かえって効果の上がらないたとえ。小魚をにるとき、手を加えすぎると崩れてしまうことから。「鮮」は生魚の意。,0,0
134,4,りゅうぐう,異郷に<りゅうぐう>する我が身を託つ。,流寓,放浪して異郷に住むこと。,0,0
153,4,かしゃく,毫も<かしゃく>する所がない。,仮借,許すこと。見逃すこと。「仮借なく罰する」,0,0
155,4,いっせきがん,近時、<いっせきがん>を具する人を見ない。,一隻眼,物事を見抜くすぐれた観察眼。ひとかどの見識。,0,0
156,4,いっていじ,目に<いっていじ>もない無学の己を恥じる。,一丁字,一つの字をも知らない。無学である。,0,0
161,4,しんえん,<しんえん>狂い、意馬跳る。,心猿,欲情に燃えて落ち着かないようすを、猿がわめき騒ぐのにたとえた語。「意馬心猿」,0,0
163,4,こうひ,今も村の<こうひ>が残る。,口碑,《石碑のようにながく後世にのこる意》古くからの言い伝え。伝説。「口碑に残る悲話」,0,0
164,4,こうぜつ,<こうぜつ>の徒を嫌忌する。,口舌,口先だけの言葉。物言い。くぜつ。,0,0
165,4,しし,<しし>相承によって現在に伝わっている。,師資,武芸や学問などの教えを師から弟子へと受け継ぐこと。,0,0
166,4,がじゅん,流麗かつ<がじゅん>な格調高き文章。,雅馴, 文章が品があって洗練されていること。言葉遣いや筆づかいが正しく、練れていること。また、そのさま。,1,0
11,5,ぜんとりょうえん,<ぜんとりょうえん>,前途遼遠,目的を達成するまでの道のりが、はるかに遠くて困難なさま。,2,0
12,5,そうじんふぎょ,<そうじんふぎょ>,甑塵釜魚,長い間使わずにいるので、蒸し道具の甑には塵が積もり釜の中には魚が泳いでいるという故事から、貧しくて食べるにも事欠くさま。,2,0
13,5,きょくこうのたのしみ,<きょくこうのたのしみ>,曲肱之楽,富を求めずに、貧しくても正しい行いをする楽しみのこと。または、貧しい暮らしをしていても、その中に楽しみはあるということ。「曲肱」は枕が買えないために腕を曲げて、肘を枕にするという意味。,1,0
14,5,ほうとうひしゅう,<ほうとうひしゅう>,朋党比周,仲間を作って結託して、それ以外の人を排斥すること。「朋党」は考えや利害が同じ仲間のこと。「比周」は片方だけと仲良くすること。主に悪い意味で使われる言葉で、徒党を組んで悪事を働く場合などに使われる。,1,0
15,5,たいろうのじみ,<たいろうのじみ>,太牢滋味,立派で豪華な料理のこと。「太牢」は祭りの時に供えるいけにえという意味から、牛、羊、豚の三種の肉のこと。「滋味」はおいしい食べ物のこと。,1,0
16,5,おんぶんじが,<おんぶんじが>,温文爾雅,心がおだやかで、態度や言動が礼儀にかなっていること。「温文」は温和で礼儀にかなっていること。「爾雅」は言葉や文章などが美しいこと。「爾雅温文」ともいう。,1,0
